artist,title
Post Malone,I Had Some Help (feat. Morgan Wallen)
Shaboozey,A Bar Song (Tipsy)
RM,Come back to me
Kendrick Lamar,Not Like Us
Teddy Swims,Lose Control
Stray Kids & Charlie Puth,Lose My Breath
Post Malone,I Had Some Help (feat. Morgan Wallen)
Whitney Wren,Heartbreak Summer
Macklemore,HIND'S HALL
Tommy Richman,MILLION DOLLAR BABY
Kendrick Lamar,euphoria
"Falling In Reverse, Tech N9ne & Alex Terrible",Ronald
Hozier,Too Sweet
Benson Boone,Beautiful Things
Cooper Alan,Feel Like Hell Today
Kendrick Lamar,meet the grahams
Myles Smith,Stargazing
Sabrina Carpenter,Espresso
Marshmello & Kane Brown,Miles On It
Shaboozey,A Bar Song (Tipsy)
RM,Come back to me (Radio Edit)
Taylor Swift,Fortnight (feat. Post Malone)
Stray Kids & Charlie Puth,Lose My Breath (Instrumental)
Megan Thee Stallion,BOA
"Future, Metro Boomin & Kendrick Lamar",Like That
Reba McEntire,I Can't
Ren,Troubles
Randy Travis,Where That Came From
Teddy Swims,The Door
Taylor Swift,I Can Do It With a Broken Heart
Drake,Family Matters
RM,Come back to me
DreamDoll,Jelly (feat. 2Rare) [Remix]
Tim McGraw,Live Like You Were Dying
Dasha,Austin
Thomas Rhett,Beautiful As You
Dua Lipa,Training Season
Morgan Wallen,Cowgirls (feat. ERNEST)
Jelly Roll,Save Me (with Lainey Wilson)
"Tauren Wells, We The Kingdom & Davies",Take It All Back
Zhang Zhe Han,Can You Hear Me
Artemas,i like the way you kiss me
Jelly Roll,Halfway To Hell
Luke Combs,Where the Wild Things Are
Megan Thee Stallion,BOA
Paul Russell,Lil Boo Thang
Dua Lipa,Illusion
"Hank Williams, Jr.",A Country Boy Can Survive
Ariana Grande,we can't be friends (wait for your love)
Taylor Swift,Who’s Afraid of Little Old Me?
Cody Johnson,Dirt Cheap
The Red Clay Strays,Wondering Why
Noah Kahan,Stick Season
Jelly Roll,Save Me
Disturbed,The Sound of Silence (CYRIL Remix)
Forrest Frank,GOOD DAY
Ini Kamoze,Here Comes the Hotstepper (Heartical Mix)
Lainey Wilson,Wildflowers and Wild Horses (Single Version)
Morgan Wallen,Last Night
Dasha,Austin
Taylor Swift,Down Bad
HARDY,TRUCK BED
Benson Boone,Beautiful Things
Keith Urban & Lainey Wilson,GO HOME W U
Jelly Roll,Need a Favor
Benson Boone,Slow It Down
Dua Lipa,Houdini
Drake,Push Ups
Natasha Bedingfield,Unwritten
Jack Harlow,Lovin On Me
4batz,act iii: on god? (she like) [slowed down]
Miley Cyrus,Flowers
Tucker Wetmore,Wine Into Whiskey
Lee Brice,Hard to Love
Nate Smith,Bulletproof
Taylor Swift,Cruel Summer
Zach Bryan,I Remember Everything (feat. Kacey Musgraves)
Elevation Worship,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)"
4batz,act iii: on god? (she like) [sped up]
Beyoncé,TEXAS HOLD 'EM
Shinedown,A Symptom Of Being Human
4batz,act iv: fckin u (18+) [sped up]
Morgan Wallen,Thinkin’ Bout Me
Royale Lynn & Danny Worsnop,Death Wish
Chris Stapleton,White Horse
4batz & Kanye West,act iii: on god? (she like) [remix]
Good Neighbours,Home
The Kiffness,I Go Meow
4batz,act iv: fckin u (18+) [slowed down]
Camila Cabello,HE KNOWS (feat. Lil Nas X)
Luke Combs,Fast Car
Shaya Zamora,Pretty Little Devil
Riley Green,Worst Way
GloRilla & Megan Thee Stallion,Wanna Be
Djo,End of Beginning
Maisy Kay,Technicolor Honeymoon
GloRilla & Megan Thee Stallion,Wanna Be
4batz,act iii: on god? (she like)
4batz,get out yo feelings ho
4batz,umademeast4r.mp3
