category_id,category_name
0JQ5DAt0tbjZptfcdMSKl3,Made For You
0JQ5DAqbMKFz6FAsUtgAab,New Releases
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop
0JQ5DAqbMKFEC4WFtoNRpw,Pop
0JQ5DAqbMKFzHmL4tf05da,Mood
0JQ5DAqbMKFDXXwE9BDJAr,Rock
0JQ5DAudkNjCgYMM0TZXDw,Charts
0JQ5DAqbMKFIRybaNTYXXy,In the car
0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic
0JQ5DAqbMKFFzDl7qN9Apr,Chill
0JQ5DAqbMKFCWjUTdzaG0e,Indie
0JQ5DAtOnAEpjOgUKwXyxj,Discover
0JQ5DAqbMKFImHYGo3eTSg,Fresh Finds
0JQ5DAqbMKFPw634sFwguI,EQUAL
0JQ5DAqbMKFOOxftoKZxod,RADAR
0JQ5DAqbMKFAXlCG6QvYQ4,Workout
0JQ5DAqbMKFGvOw3O4nLAf,K-pop
0JQ5DAqbMKFCuoRTxhYWow,Sleep
0JQ5DAqbMKFA6SOHvT3gck,Party
0JQ5DAqbMKFx0uLQR2okcc,At Home
0JQ5DAqbMKFCbimwdOYlsl,Focus
0JQ5DAqbMKFIVNxQgRNSg0,Decades
0JQ5DAqbMKFxXaXKP7zcDp,Latin
0JQ5DAqbMKFEZPnFQSFB1T,R&B
0JQ5DAqbMKFAUsdyVjCQuL,Love
0JQ5DAqbMKFFoimhOqWzLB,Kids & Family
0JQ5DAqbMKFDkd668ypn6O,Metal
0JQ5DAqbMKFAJ5xb0fwo9m,Jazz
0JQ5DAqbMKFQIL0AXnG5AK,Trending
0JQ5DAqbMKFziKOShCi009,Anime
0JQ5DAqbMKFPrEiAOxgac3,Classical
0JQ5DAqbMKFy78wprEpAjl,Folk & Acoustic
0JQ5DAqbMKFKLfwjuJMoNC,Country
0JQ5DAqbMKFIxnofjQmnmn,Disney
0JQ5DAqbMKFIpEuaCnimBj,Soul
0JQ5DAqbMKFCfObibaOZbv,Gaming
0JQ5DAqbMKFGnsSfvg90Wo,GLOW
0JQ5DAqbMKFOzQeOmemkuw,TV & Movies
0JQ5DAqbMKFEOEBCABAxo9,Netflix
0JQ5DAqbMKFRieVZLLoo9m,Instrumental
0JQ5DAqbMKFLb2EqgLtpjC,Wellness
0JQ5DAqbMKFAjfauKLOZiv,Punk
0JQ5DAqbMKFLjmiZRss79w,Ambient
0JQ5DAqbMKFQiK2EHwyjcU,Blues
0JQ5DAqbMKFRY5ok2pxXJ0,Cooking & Dining
0JQ5DAqbMKFFtlLYUHv8bT,Alternative
0JQ5DAqbMKFAQy4HL4XU2D,Travel
0JQ5DAqbMKFJKoGyUMo2hE,Reggae
0JQ5DAqbMKFObNLOHydSW8,Caribbean
0JQ5DAqbMKFNQ0fGp4byGU,Afro
0JQ5DAqbMKFSCjnQr8QZ3O,Songwriters
0JQ5DAqbMKFI3pNLtYMD9S,Nature & Noise
0JQ5DAqbMKFFsW9N8maB6z,Funk & Disco
0JQ5DAqbMKFDBgllo2cUIN,Spotify Singles
0JQ5DAqbMKFRKBHIxJ5hMm,Tastemakers
